iterations,Dist,Diag,Inference,TrainDice,TestDice,,n_train,n_test
10,1,0,ad3,0.9140301959,0.9242501199,,,
10,2,0,ad3,0.8718988498,0.8759601647,,,
10,1,1,ad3,0.8993309427,0.9124727713,,,
40,1,0,ad3,0.9169366798,0.9202525507,,,
40,1,1,ad3,0.8975373624,0.9062441321,,,
40,2,0,ad3,0.8754124406,0.8904753848,,,
40,2,1,ad3,0.8362605086,0.8232925257,,,
40,3,0,ad3,0.8334505038,0.8298740483,,,
40,1,0,qpbo,0.9148139549,0.9201441623,,,
40,1,1,qpbo,0.8990686704,0.917055222,,,
40,1,0,ad3,0.9379809112,0.9409591852,,,
40,1,0,ad3,0.9403593093,0.9326240378,3x3neighbor,,
40,1,1,ad3,0.9361493895,0.9284050544,3x3neighbor,,
40,2,0,ad3,0.9382763196,0.9317869293,3x3neighbor,,
40,0,0,ad3,0.8021216348,0.7761536591,,,
40,2,0,ad3,0.9396543434,0.9377404885,5x5neighbor,,
40,1,0,ad3,0.9434263956,0.9374108797,5x5neighbor,,
40,1,0,ad3,0.9390383548,0.9355400107,3x3neighbor,,
40,1,1,ad3,0.9361431051,0.9303169826,3x3neighbor,,
40,1,1,ad3,0.721480021465,0.690877076249,3x3neighbor,200,100
40,1,1,ad3,0.789448485425,0.766367339493,3x3neighbor,200,100
